full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,tp_cal,class,two_body,A1,A2,A3,DT,spkid,pdes,name,prefix,neo,pha,sats,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,ma,n,tp,per,moid,moid_ld,moid_jup,t_jup,producer,first_obs,last_obs,rms
1 Ceres (A801 AA),2.766,0.0796,10.59,80.25,73.30,2.546,2.99,4.6,9520,0,1075,60,0,3.35,2027-07-13.4,MBA,,,,,,20000001,1,Ceres,,N,N,0,0.12,,,,,,939.4,964.4 x 964.2 x 891.8,0.090,9.074170,62.6284,0.713,0.426,,C,G,JPL 48,2461000.5,61000,2025-11-21.0,J2000,231.54,0.2143,2461599.95,1.68E+03,1.58,615,2.1,3.31,Davide Farnocchia,1995-01-05,2021-01-28,0.43153
2 Pallas (A802 FA),2.77,0.2306,34.93,172.89,310.93,2.131,3.41,4.61,80740,0,9761,,,4.11,2027-10-16.4,MBA,,,,,,20000002,2,Pallas,,N,N,0,0.11,,,,,,513,568x532x448,0.155,7.8132214,13.63,0.635,0.284,,B,B,JPL 71,2461000.5,61000,2025-11-21.0,J2000,211.53,0.2138,2461694.94,1.68E+03,1.23,477,1.85,3.04,Otto Matic,1804-08-27,2025-09-17,0.35835
3 Juno (A804 RA),2.671,0.2558,12.99,169.82,247.88,1.988,3.35,4.37,80649,0,8337,,,5.19,2027-08-13.6,MBA,,,,,,20000003,3,Juno,,N,N,0,0.32,,,,,,246.596,,0.214,7.21,,0.824,0.433,,Sk,S,JPL 143,2461000.5,61000,2025-11-21.0,J2000,217.59,0.2258,2461631.19,1.59E+03,1.04,404,2.19,3.3,Otto Matic,1804-10-17,2025-08-08,0.35575
4 Vesta (A807 FA),2.362,0.0902,7.14,103.70,151.54,2.149,2.57,3.63,25743,0,9451,2977,0,3.25,2025-08-14.2,MBA,,,,,,20000004,4,Vesta,,N,N,0,0.32,,,,,,522.77,569.24 x 554.48 x 452.66,0.4228,5.3421276322,17.2882844,0.782,0.492,,V,V,JPL 36,2461000.5,61000,2025-11-21.0,J2000,26.81,0.2716,2460901.79,1.33E+03,1.13,442,2.46,3.54,Davide Farnocchia,1950-09-23,2021-03-17,0.40095
5 Astraea (A845 XA),2.577,0.1875,5.36,141.45,359.35,2.094,3.06,4.14,65687,0,4394,,,6.97,2024-05-08.1,MBA,,,,,,20000005,5,Astraea,,N,N,0,,,,,,,106.699,,0.274,16.806,,0.826,0.411,,S,S,JPL 146,2461000.5,61000,2025-11-21.0,J2000,133.87,0.2383,2460438.66,1.51E+03,1.11,430,1.97,3.4,Otto Matic,1845-12-15,2025-10-19,0.47813
6 Hebe (A847 NA),2.425,0.2022,14.74,138.61,239.70,1.935,2.92,3.78,64646,0,6746,,,5.61,2025-12-19.5,MBA,,,,,,20000006,6,Hebe,,N,N,0,0.24,,,,,,185.18,,0.2679,7.2745,,0.822,0.399,,S,S,JPL 119,2461000.5,61000,2025-11-21.0,J2000,352.56,0.2609,2461029.00,1.38E+03,0.976,380,2.63,3.44,Otto Matic,1848-09-05,2025-09-03,0.41832
7 Iris (A847 PA),2.387,0.2302,5.52,259.49,145.48,1.837,2.94,3.69,64712,0,5921,2,0,5.68,2025-04-04.1,MBA,,,,,,20000007,7,Iris,,N,N,0,,,,,,,199.83,,0.2766,7.139,,0.855,0.484,,S,S,JPL 142,2461000.5,61000,2025-11-21.0,J2000,61.73,0.2673,2460769.61,1.35E+03,0.849,330,2.48,3.49,Otto Matic,1848-08-23,2025-10-26,0.35786
8 Flora (A847 UA),2.201,0.1563,5.89,110.84,285.43,1.857,2.55,3.27,64929,0,3564,,,6.61,2027-05-08.8,MBA,,,,,,20000008,8,Flora,,N,N,0,0.28,,,,,,147.491,,0.226,12.865,,0.885,0.489,,,S,JPL 152,2461000.5,61000,2025-11-21.0,J2000,198.90,0.3018,2461534.34,1.19E+03,0.874,340,2.88,3.64,Otto Matic,1847-10-27,2025-08-03,0.54806
9 Metis (A848 HA),2.387,0.1226,5.58,68.87,5.90,2.094,2.68,3.69,64348,0,3686,,,6.33,2027-07-15.5,MBA,,,,,,20000009,9,Metis,,N,N,0,0.17,,,,,,190,,0.118,5.079,,0.858,0.496,,,S,JPL 147,2461000.5,61000,2025-11-21.0,J2000,199.20,0.2673,2461602.02,1.35E+03,1.11,431,2.56,3.52,Otto Matic,1849-07-31,2025-10-04,0.43844
10 Hygiea (A849 GA),3.148,0.1082,3.83,283.12,312.61,2.807,3.49,5.58,64419,0,5155,,,5.64,2028-02-10.9,MBA,,,,,,20000010,10,Hygiea,,N,N,0,,,,,,,407.12,,0.0717,13.828,7,0.696,0.351,,C,C,JPL 126,2461000.5,61000,2025-11-21.0,J2000,216.69,0.1765,2461812.47,2.04E+03,1.8,699,1.54,3.2,Otto Matic,1849-05-26,2025-10-09,0.47972
